Column1,ID,weight,female,white,income,highered,interest,party_01,dem_strength_01,rep_strength_01,affect_dem_01,affect_rep_01,troll_01,know_01,cynicism_01,ideo_01,crt_01,age_01,part_online_01,age_grp2,troll,cynicism,know,dem_strength,rep_strength,affect_dem,affect_rep,partyid,ideology,crt,part_online,no_followers,dig_literacy,meantrust,Left,LeanLeft,Center,LeanRight,Right,Bakshy_StrongLeft,Bakshy_LeanLeft,Bakshy_Center,Bakshy_LeanRight,Bakshy_StrongRight,grinberg,grinberg_rep,grinberg_dem,grinberg_rep_black,grinberg_rep_red,grinberg_rep_orange,grinberg_dem_black,grinberg_dem_red,grinberg_dem_orange,Mixed,realnewscount,rep,dem,fakenewstot,black_rep,black_dem,black_no_pol,red_rep,red_dem,red_no_pol,orange_rep,orange_dem,orange_no_pol,fn_dummy,fn_dummy_dem,fn_dummy_rep,rn_dummy,realnews_dem,rn_dummy_dem,realnews_rep,rn_dummy_rep,rn_dummy_center,real_left,real_leanLeft,real_center,real_leanRight,real_right,log_center,log_lean_dem,log_lean_rep,log_extreme_dem,log_extreme_rep,log_fn_dem,log_fn_rep,log_rn_dem,log_rn_rep,log_real,log_fake,black_rep_dummy,black_dem_dummy,black_no_pol_dummy,red_rep_dummy,red_dem_dummy,red_no_pol_dummy,orange_rep_dummy,orange_dem_dummy,orange_no_pol_dummy,black_total,red_total,orange_total,fn_dummy_grinberg,fn_dummy_dem_grinberg,fn_dummy_rep_grinberg,black_rep_dummy_grinberg,black_dem_dummy_grinberg,red_rep_dummy_grinberg,red_dem_dummy_grinberg,orange_rep_dummy_grinberg,orange_dem_dummy_grinberg,black_total_grinberg,red_total_grinberg,orange_total_grinberg,realnewscount_Bakshy,rn_dummy_bakshy,realnews_dem_bakshy,rn_dummy_dem_bakshy,realnews_rep_bakshy,rn_dummy_rep_bakshy,rn_dummy_center_bakshy,real_left_bakshy,real_leanLeft_bakshy,real_center_bakshy,real_leanRight_bakshy,real_right_bakshy,log_center_bakshy,log_lean_dem_bakshy,log_lean_rep_bakshy,log_extreme_dem_bakshy,log_extreme_rep_bakshy,log_rn_dem_bakshy,log_rn_rep_bakshy,log_real_bakshy,fn_dummy_infowars,fn_dummy_repinfowars,realnews_rep_infowars,log_rep_fn_infowars,log_rep_rn,log_extreme_rep_infowars,log_fake_infowars
1911,56368,0.852231727258,1,1,6,0,4,0.833333333333333,0.0,0.444444444444444,0,1,0.0,0.0,1.025,0.571428571428571,0.0,0.230769230769231,0.166666666666667,4,1.0,5.125,0,1.0,3.66666666666667,1,7,6,4,0,2.0,1,NA,0.56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0.0,0.693147180559945,0.0,0.0,0.0,0.0,0.0,0.693147180559945,0.0,0.693147180559945,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0.693147180559945,0.0,0.0,0.0,0.0,0.0,0.0,0.693147180559945,0,0,0,0.0,0.0,0.0,0.0
1912,77802,1.07280919922,0,0,4,1,5,1.0,0.0555555555555555,0.777777777777778,0.0555555555555555,0.527777777777778,0.0,1.0,0.725,1.0,0.25,0.692307692307692,0.483333333333333,10,1.0,3.625,5,1.33333333333333,5.66666666666667,1.33333333333333,4.16666666666667,7,7,1,3.9,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1913,80163,1.08467301616,1,1,6,1,4,0.666666666666667,0.0,0.222222222222222,0,0.333333333333333,0.0,1.0,1.15,0.857142857142857,0.0,0.0769230769230769,0.283333333333333,2,1.0,5.75,5,1.0,2.33333333333333,1,3,5,6,0,2.7,1,NA,0.708,3,8,3,5,3,2,8,4,0,4,2,2,0,1,0,1,0,0,0,0,22,1,0,2,0,0,1,0,0,0,1,0,0,1,0,1,1,11,1,8,1,1,1,1,1,1,1,1.38629436111989,2.19722457733622,1.79175946922805,1.38629436111989,1.38629436111989,0.0,0.693147180559945,2.484906649788,2.19722457733622,3.13549421592915,1.09861228866811,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,18,1,10,1,4,1,1,1,1,1,0,1,1.6094379124341,2.19722457733622,0.0,1.09861228866811,1.6094379124341,2.39789527279837,1.6094379124341,2.94443897916644,1,1,8,0.693147180559945,2.19722457733622,1.38629436111989,1.09861228866811
1914,79888,0.870004470689,1,1,6,1,2,0.0,0.444444444444444,0.444444444444444,0.472222222222222,0.5,0.5,0.0,0.775,0.571428571428571,0.0,0.307692307692308,0.0166666666666667,5,4.0,3.875,0,3.66666666666667,3.66666666666667,3.83333333333333,4,1,4,0,1.1,1,0.933333333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1915,48048,0.999814301049,1,0,6,1,3,0.0,0.666666666666667,0.0,0.638888888888889,0.0555555555555555,0.0,0.2,0.85,0.142857142857143,0.5,0.0,0.0333333333333333,1,1.0,4.25,1,5.0,1.0,4.83333333333333,1.33333333333333,1,1,2,1.2,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1916,30006,1.17610434217,0,1,13,1,4,1.0,0.666666666666667,0.666666666666667,0.5,0.5,0.666666666666667,0.6,0.75,0.857142857142857,0.0,0.0769230769230769,0.416666666666667,2,5.0,3.75,3,5.0,5.0,4,4,7,6,0,3.5,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1917,20823,0.853451739831,1,1,5,0,5,0.333333333333333,0.5,0.0,0.694444444444445,0.111111111111111,0.0,0.6,1.4,0.142857142857143,0.5,0.384615384615385,0.233333333333333,6,1.0,7.0,3,4.0,1.0,5.16666666666667,1.66666666666667,3,1,2,2.4,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1918,30604,1.13644786397,1,0,7,1,3,0.5,0.722222222222222,0.666666666666667,0.583333333333333,0.527777777777778,0.833333333333333,0.0,0.675,0.142857142857143,0.25,0.307692307692308,0.65,5,6.0,3.375,0,5.33333333333333,5.0,4.5,4.16666666666667,4,1,1,4.9,1,0.533333333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
1919,6280,0.96924918784,0,1,10,1,5,0.333333333333333,1.0,0.0,0.916666666666667,0.166666666666667,0.0,1.0,0.9,0.285714285714286,0.75,0.461538461538462,0.266666666666667,7,1.0,4.5,5,7.0,1.0,6.5,2,3,2,3,2.6,1,0.8,0.13,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.693147180559945,0.0,0.0,0.0,0.693147180559945,0.0,0.693147180559945,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.693147180559945,0.0,0.693147180559945,0.0,0.693147180559945,0,0,0,0.0,0.0,0.0,0.0
1920,43904,1.01264942389,0,1,3,1,4,0.0,0.666666666666667,0.333333333333333,0.722222222222222,0.333333333333333,0.208333333333333,1.0,1.0,0.285714285714286,0.5,0.307692307692308,0.183333333333333,5,2.25,5.0,5,5.0,3.0,5.33333333333333,3,1,2,2,2.1,1,0.633333333333333,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
